Year,State Name,Indicator,total_deaths,rank_within_drug,top10_flag,national_all_drug_total,national_prev_year,national_yoy_change,national_yoy_pct,national_drug_total,ma_3yr,ma_5yr
2022,California,Cocaine (T40.5),1480.0,6,1,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,California,Cocaine (T40.5),1757.0,3,1,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,California,Cocaine (T40.5),1328.0,2,1,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2018,Colorado,Cocaine (T40.5),133.0,20,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Colorado,Cocaine (T40.5),135.0,24,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Colorado,Cocaine (T40.5),225.0,19,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Colorado,Cocaine (T40.5),274.0,22,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Colorado,Cocaine (T40.5),264.0,24,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Colorado,Cocaine (T40.5),295.0,25,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Colorado,Cocaine (T40.5),267.0,22,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2015,Connecticut,Cocaine (T40.5),168.0,8,1,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,Connecticut,Cocaine (T40.5),237.0,10,1,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Connecticut,Cocaine (T40.5),290.0,10,1,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Connecticut,Cocaine (T40.5),307.0,11,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Connecticut,Cocaine (T40.5),375.0,13,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Connecticut,Cocaine (T40.5),420.0,14,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Connecticut,Cocaine (T40.5),549.0,16,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Connecticut,Cocaine (T40.5),577.0,16,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Connecticut,Cocaine (T40.5),639.0,15,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Connecticut,Cocaine (T40.5),509.0,16,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2018,Delaware,Cocaine (T40.5),143.0,18,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Delaware,Cocaine (T40.5),160.0,19,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Delaware,Cocaine (T40.5),147.0,26,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Delaware,Cocaine (T40.5),197.0,28,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Delaware,Cocaine (T40.5),215.0,29,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Delaware,Cocaine (T40.5),272.0,26,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Delaware,Cocaine (T40.5),162.0,31,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2015,District of Columbia,Cocaine (T40.5),37.0,20,0,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,District of Columbia,Cocaine (T40.5),99.0,16,0,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,District of Columbia,Cocaine (T40.5),139.0,15,0,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,District of Columbia,Cocaine (T40.5),131.0,22,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,District of Columbia,Cocaine (T40.5),144.0,23,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,District of Columbia,Cocaine (T40.5),178.0,24,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,District of Columbia,Cocaine (T40.5),276.0,21,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,District of Columbia,Cocaine (T40.5),302.0,23,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,District of Columbia,Cocaine (T40.5),351.0,21,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,District of Columbia,Cocaine (T40.5),234.0,24,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2019,Florida,Cocaine (T40.5),1503.0,1,1,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2021,Florida,Cocaine (T40.5),2310.0,1,1,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Florida,Cocaine (T40.5),2216.0,1,1,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Florida,Cocaine (T40.5),2099.0,1,1,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2015,Georgia,Cocaine (T40.5),164.0,9,1,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,Georgia,Cocaine (T40.5),213.0,11,0,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Georgia,Cocaine (T40.5),261.0,12,0,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Georgia,Cocaine (T40.5),270.0,13,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Georgia,Cocaine (T40.5),296.0,16,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Georgia,Cocaine (T40.5),333.0,17,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Georgia,Cocaine (T40.5),484.0,17,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Georgia,Cocaine (T40.5),572.0,17,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Georgia,Cocaine (T40.5),595.0,17,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Georgia,Cocaine (T40.5),547.0,14,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2018,Hawaii,Cocaine (T40.5),12.0,34,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Hawaii,Cocaine (T40.5),13.0,39,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Hawaii,Cocaine (T40.5),16.0,40,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Hawaii,Cocaine (T40.5),16.0,43,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Hawaii,Cocaine (T40.5),27.0,44,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Hawaii,Cocaine (T40.5),29.0,44,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Hawaii,Cocaine (T40.5),32.0,42,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2022,Idaho,Cocaine (T40.5),13.0,46,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Idaho,Cocaine (T40.5),17.0,45,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Idaho,Cocaine (T40.5),15.0,45,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2015,Illinois,Cocaine (T40.5),340.0,4,1,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,Illinois,Cocaine (T40.5),511.0,4,1,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Illinois,Cocaine (T40.5),751.0,2,1,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Illinois,Cocaine (T40.5),784.0,3,1,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Illinois,Cocaine (T40.5),877.0,4,1,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Illinois,Cocaine (T40.5),1099.0,3,1,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Illinois,Cocaine (T40.5),1322.0,5,1,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Illinois,Cocaine (T40.5),1527.0,4,1,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Illinois,Cocaine (T40.5),1473.0,7,1,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Illinois,Cocaine (T40.5),1064.0,7,1,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2019,Indiana,Cocaine (T40.5),269.0,17,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Indiana,Cocaine (T40.5),294.0,18,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Indiana,Cocaine (T40.5),423.0,19,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Indiana,Cocaine (T40.5),472.0,20,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Indiana,Cocaine (T40.5),462.0,19,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Indiana,Cocaine (T40.5),358.0,20,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2015,Iowa,Cocaine (T40.5),16.0,24,0,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,Iowa,Cocaine (T40.5),16.0,26,0,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Iowa,Cocaine (T40.5),18.0,27,0,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Iowa,Cocaine (T40.5),12.0,33,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Iowa,Cocaine (T40.5),18.0,38,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Iowa,Cocaine (T40.5),27.0,38,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Iowa,Cocaine (T40.5),34.0,41,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Iowa,Cocaine (T40.5),44.0,42,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Iowa,Cocaine (T40.5),36.0,42,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Iowa,Cocaine (T40.5),39.0,41,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2019,Kansas,Cocaine (T40.5),31.0,37,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Kansas,Cocaine (T40.5),37.0,37,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Kansas,Cocaine (T40.5),77.0,37,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Kansas,Cocaine (T40.5),90.0,37,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Kansas,Cocaine (T40.5),72.0,38,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Kansas,Cocaine (T40.5),74.0,38,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2018,Kentucky,Cocaine (T40.5),126.0,23,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Kentucky,Cocaine (T40.5),122.0,27,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Kentucky,Cocaine (T40.5),177.0,25,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Kentucky,Cocaine (T40.5),238.0,24,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Kentucky,Cocaine (T40.5),240.0,26,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Kentucky,Cocaine (T40.5),303.0,23,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Kentucky,Cocaine (T40.5),209.0,25,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2015,Maine,Cocaine (T40.5),32.0,21,0,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,Maine,Cocaine (T40.5),59.0,18,0,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Maine,Cocaine (T40.5),89.0,19,0,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Maine,Cocaine (T40.5),87.0,25,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Maine,Cocaine (T40.5),108.0,28,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Maine,Cocaine (T40.5),117.0,28,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Maine,Cocaine (T40.5),153.0,31,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Maine,Cocaine (T40.5),210.0,31,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Maine,Cocaine (T40.5),226.0,29,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Maine,Cocaine (T40.5),204.0,27,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2015,Maryland,Cocaine (T40.5),145.0,11,0,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,Maryland,Cocaine (T40.5),316.0,7,1,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Maryland,Cocaine (T40.5),524.0,7,1,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Maryland,Cocaine (T40.5),721.0,6,1,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Maryland,Cocaine (T40.5),695.0,9,1,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Maryland,Cocaine (T40.5),757.0,10,1,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Maryland,Cocaine (T40.5),888.0,12,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Maryland,Cocaine (T40.5),963.0,12,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Maryland,Cocaine (T40.5),1064.0,11,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Maryland,Cocaine (T40.5),680.0,11,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2015,Massachusetts,Cocaine (T40.5),400.0,2,1,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,Massachusetts,Cocaine (T40.5),567.0,2,1,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Massachusetts,Cocaine (T40.5),701.0,4,1,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Massachusetts,Cocaine (T40.5),721.0,5,1,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Massachusetts,Cocaine (T40.5),786.0,6,1,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Massachusetts,Cocaine (T40.5),920.0,7,1,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Massachusetts,Cocaine (T40.5),1158.0,8,1,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Massachusetts,Cocaine (T40.5),1236.0,9,1,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Massachusetts,Cocaine (T40.5),1245.0,8,1,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Massachusetts,Cocaine (T40.5),857.0,9,1,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2018,Michigan,Cocaine (T40.5),769.0,4,1,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2020,Michigan,Cocaine (T40.5),666.0,11,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Michigan,Cocaine (T40.5),937.0,11,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Michigan,Cocaine (T40.5),1073.0,11,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Michigan,Cocaine (T40.5),1195.0,9,1,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Michigan,Cocaine (T40.5),773.0,10,1,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2021,Minnesota,Cocaine (T40.5),158.0,30,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Minnesota,Cocaine (T40.5),216.0,28,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Minnesota,Cocaine (T40.5),252.0,28,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Minnesota,Cocaine (T40.5),200.0,28,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2019,Mississippi,Cocaine (T40.5),42.0,34,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Mississippi,Cocaine (T40.5),59.0,33,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Mississippi,Cocaine (T40.5),90.0,35,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Mississippi,Cocaine (T40.5),90.0,38,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Mississippi,Cocaine (T40.5),103.0,37,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Mississippi,Cocaine (T40.5),80.0,37,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2018,Missouri,Cocaine (T40.5),132.0,21,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Missouri,Cocaine (T40.5),149.0,21,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Missouri,Cocaine (T40.5),208.0,20,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Missouri,Cocaine (T40.5),264.0,23,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Missouri,Cocaine (T40.5),310.0,22,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Missouri,Cocaine (T40.5),326.0,22,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Missouri,Cocaine (T40.5),282.0,21,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2021,Nebraska,Cocaine (T40.5),17.0,42,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2023,Nebraska,Cocaine (T40.5),17.0,46,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2015,Nevada,Cocaine (T40.5),45.0,18,0,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,Nevada,Cocaine (T40.5),44.0,22,0,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,Nevada,Cocaine (T40.5),59.0,20,0,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,Nevada,Cocaine (T40.5),48.0,31,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,Nevada,Cocaine (T40.5),59.0,32,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,Nevada,Cocaine (T40.5),105.0,30,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,Nevada,Cocaine (T40.5),93.0,34,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,Nevada,Cocaine (T40.5),115.0,35,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,Nevada,Cocaine (T40.5),161.0,34,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,Nevada,Cocaine (T40.5),192.0,29,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2015,New Hampshire,Cocaine (T40.5),44.0,19,0,2718198.0,,,,6841.0,2718198.0,2718198.0
2016,New Hampshire,Cocaine (T40.5),53.0,20,0,2749864.0,2718198.0,31666.0,1.16,10458.0,2734031.0,2734031.0
2017,New Hampshire,Cocaine (T40.5),44.0,24,0,2820034.0,2749864.0,70170.0,2.55,14069.0,2762698.6666666665,2762698.6666666665
2018,New Hampshire,Cocaine (T40.5),61.0,26,0,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,New Hampshire,Cocaine (T40.5),72.0,30,0,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,New Hampshire,Cocaine (T40.5),47.0,35,0,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,New Hampshire,Cocaine (T40.5),36.0,40,0,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,New Hampshire,Cocaine (T40.5),57.0,41,0,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
2023,New Hampshire,Cocaine (T40.5),62.0,40,0,3101016.0,3289569.0,-188553.0,-5.73,29911.0,3287568.3333333335,3222901.2
2024,New Hampshire,Cocaine (T40.5),45.0,40,0,3082466.0,3101016.0,-18550.0,-0.6,22282.0,3157683.6666666665,3267089.8
2018,New Jersey,Cocaine (T40.5),867.0,2,1,2846305.0,2820034.0,26271.0,0.93,14802.0,2805401.0,2783600.25
2019,New Jersey,Cocaine (T40.5),881.0,3,1,2861523.0,2846305.0,15218.0,0.53,16024.0,2842620.6666666665,2799184.8
2020,New Jersey,Cocaine (T40.5),842.0,9,1,3390278.0,2861523.0,528755.0,18.48,19601.0,3032702.0,2933600.8
2021,New Jersey,Cocaine (T40.5),1066.0,10,1,3472120.0,3390278.0,81842.0,2.41,24710.0,3241307.0,3078052.0
2022,New Jersey,Cocaine (T40.5),1159.0,10,1,3289569.0,3472120.0,-182551.0,-5.26,27921.0,3383989.0,3171959.0
