Year,State Name,Indicator,Total Deaths,Status
2021,Alabama,Natural & semi-synthetic opioids (T40.2),,Final
2021,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2021,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2021,Alabama,Number of Deaths,67323.0,Final
2021,Alabama,Number of Drug Overdose Deaths,1333.0,Final
2021,Alabama,"Opioids (T40.0-T40.4,T40.6)",,Final
2021,Alabama,Percent with drugs specified,88.97224306,Final
2021,Alabama,Psychostimulants with abuse potential (T43.6),,Final
2021,Alabama,"Synthetic opioids, excl. methadone (T40.4)",,Final
2022,Alabama,Cocaine (T40.5),249.0,Final
2022,Alabama,Heroin (T40.1),46.0,Final
2022,Alabama,Methadone (T40.3),30.0,Final
2022,Alabama,Natural & semi-synthetic opioids (T40.2),143.0,Final
2022,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",170.0,Final
2022,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1052.0,Final
2022,Alabama,Number of Deaths,61127.0,Final
2022,Alabama,Number of Drug Overdose Deaths,1452.0,Final
2022,Alabama,"Opioids (T40.0-T40.4,T40.6)",1076.0,Final
2022,Alabama,Percent with drugs specified,93.31955923,Final
2022,Alabama,Psychostimulants with abuse potential (T43.6),576.0,Final
2022,Alabama,"Synthetic opioids, excl. methadone (T40.4)",971.0,Final
2023,Alabama,Cocaine (T40.5),299.0,Final
2023,Alabama,Heroin (T40.1),40.0,Final
2023,Alabama,Methadone (T40.3),26.0,Final
2023,Alabama,Natural & semi-synthetic opioids (T40.2),153.0,Final
2023,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",174.0,Final
2023,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1176.0,Final
2023,Alabama,Number of Deaths,58206.0,Final
2023,Alabama,Number of Drug Overdose Deaths,1598.0,Final
2023,Alabama,"Opioids (T40.0-T40.4,T40.6)",1196.0,Final
2023,Alabama,Percent with drugs specified,94.74342929,Final
2023,Alabama,Psychostimulants with abuse potential (T43.6),605.0,Final
2023,Alabama,"Synthetic opioids, excl. methadone (T40.4)",1099.0,Final
2024,Alabama,Cocaine (T40.5),208.0,Final
2024,Alabama,Heroin (T40.1),17.0,Final
2024,Alabama,Methadone (T40.3),26.0,Final
2024,Alabama,Natural & semi-synthetic opioids (T40.2),104.0,Final
2024,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",128.0,Final
2024,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",784.0,Final
2024,Alabama,Number of Deaths,57902.0,Final
2024,Alabama,Number of Drug Overdose Deaths,1176.0,Final
2024,Alabama,"Opioids (T40.0-T40.4,T40.6)",797.0,Final
2024,Alabama,Percent with drugs specified,92.17687075,Final
2024,Alabama,Psychostimulants with abuse potential (T43.6),491.0,Final
2024,Alabama,"Synthetic opioids, excl. methadone (T40.4)",714.0,Final
2025,Alabama,Cocaine (T40.5),188.0,Provisional
2025,Alabama,Heroin (T40.1),12.0,Provisional
2025,Alabama,Methadone (T40.3),25.0,Provisional
2025,Alabama,Natural & semi-synthetic opioids (T40.2),90.0,Provisional
2025,Alabama,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",113.0,Provisional
2025,Alabama,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",665.0,Provisional
2025,Alabama,Number of Deaths,58300.0,Provisional
2025,Alabama,Number of Drug Overdose Deaths,1034.0,Provisional
2025,Alabama,"Opioids (T40.0-T40.4,T40.6)",676.0,Provisional
2025,Alabama,Percent with drugs specified,91.4893617,Provisional
2025,Alabama,Psychostimulants with abuse potential (T43.6),435.0,Provisional
2025,Alabama,"Synthetic opioids, excl. methadone (T40.4)",597.0,Provisional
2015,Alaska,Cocaine (T40.5),,Final
2015,Alaska,Heroin (T40.1),,Final
2015,Alaska,Methadone (T40.3),,Final
2015,Alaska,Natural & semi-synthetic opioids (T40.2),,Final
2015,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2015,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2015,Alaska,Number of Deaths,4193.0,Final
2015,Alaska,Number of Drug Overdose Deaths,121.0,Final
2015,Alaska,"Opioids (T40.0-T40.4,T40.6)",,Final
2015,Alaska,Percent with drugs specified,89.25619835,Final
2015,Alaska,Psychostimulants with abuse potential (T43.6),,Final
2015,Alaska,"Synthetic opioids, excl. methadone (T40.4)",,Final
2016,Alaska,Cocaine (T40.5),15.0,Final
2016,Alaska,Heroin (T40.1),49.0,Final
2016,Alaska,Methadone (T40.3),14.0,Final
2016,Alaska,Natural & semi-synthetic opioids (T40.2),46.0,Final
2016,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",53.0,Final
2016,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",59.0,Final
2016,Alaska,Number of Deaths,4355.0,Final
2016,Alaska,Number of Drug Overdose Deaths,129.0,Final
2016,Alaska,"Opioids (T40.0-T40.4,T40.6)",96.0,Final
2016,Alaska,Percent with drugs specified,99.2248062,Final
2016,Alaska,Psychostimulants with abuse potential (T43.6),53.0,Final
2016,Alaska,"Synthetic opioids, excl. methadone (T40.4)",,Final
2017,Alaska,Cocaine (T40.5),18.0,Final
2017,Alaska,Heroin (T40.1),36.0,Final
2017,Alaska,Methadone (T40.3),,Final
2017,Alaska,Natural & semi-synthetic opioids (T40.2),46.0,Final
2017,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",50.0,Final
2017,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",75.0,Final
2017,Alaska,Number of Deaths,4279.0,Final
2017,Alaska,Number of Drug Overdose Deaths,141.0,Final
2017,Alaska,"Opioids (T40.0-T40.4,T40.6)",100.0,Final
2017,Alaska,Percent with drugs specified,97.16312057,Final
2017,Alaska,Psychostimulants with abuse potential (T43.6),64.0,Final
2017,Alaska,"Synthetic opioids, excl. methadone (T40.4)",37.0,Final
2018,Alaska,Cocaine (T40.5),10.0,Final
2018,Alaska,Heroin (T40.1),28.0,Final
2018,Alaska,Methadone (T40.3),,Final
2018,Alaska,Natural & semi-synthetic opioids (T40.2),33.0,Final
2018,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",37.0,Final
2018,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",46.0,Final
2018,Alaska,Number of Deaths,4333.0,Final
2018,Alaska,Number of Drug Overdose Deaths,105.0,Final
2018,Alaska,"Opioids (T40.0-T40.4,T40.6)",65.0,Final
2018,Alaska,Percent with drugs specified,100.0,Final
2018,Alaska,Psychostimulants with abuse potential (T43.6),49.0,Final
2018,Alaska,"Synthetic opioids, excl. methadone (T40.4)",16.0,Final
2019,Alaska,Cocaine (T40.5),,Final
2019,Alaska,Heroin (T40.1),45.0,Final
2019,Alaska,Methadone (T40.3),,Final
2019,Alaska,Natural & semi-synthetic opioids (T40.2),41.0,Final
2019,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",46.0,Final
2019,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",60.0,Final
2019,Alaska,Number of Deaths,4528.0,Final
2019,Alaska,Number of Drug Overdose Deaths,133.0,Final
2019,Alaska,"Opioids (T40.0-T40.4,T40.6)",83.0,Final
2019,Alaska,Percent with drugs specified,96.2406015,Final
2019,Alaska,Psychostimulants with abuse potential (T43.6),64.0,Final
2019,Alaska,"Synthetic opioids, excl. methadone (T40.4)",23.0,Final
2020,Alaska,Cocaine (T40.5),21.0,Final
2020,Alaska,Heroin (T40.1),31.0,Final
2020,Alaska,Methadone (T40.3),,Final
2020,Alaska,Natural & semi-synthetic opioids (T40.2),37.0,Final
2020,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",44.0,Final
2020,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",88.0,Final
2020,Alaska,Number of Deaths,5008.0,Final
2020,Alaska,Number of Drug Overdose Deaths,146.0,Final
2020,Alaska,"Opioids (T40.0-T40.4,T40.6)",102.0,Final
2020,Alaska,Percent with drugs specified,94.52054795,Final
2020,Alaska,Psychostimulants with abuse potential (T43.6),67.0,Final
2020,Alaska,"Synthetic opioids, excl. methadone (T40.4)",61.0,Final
2021,Alaska,Cocaine (T40.5),11.0,Final
2021,Alaska,Heroin (T40.1),66.0,Final
2021,Alaska,Methadone (T40.3),12.0,Final
2021,Alaska,Natural & semi-synthetic opioids (T40.2),74.0,Final
2021,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",81.0,Final
2021,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",179.0,Final
2021,Alaska,Number of Deaths,6076.0,Final
2021,Alaska,Number of Drug Overdose Deaths,255.0,Final
2021,Alaska,"Opioids (T40.0-T40.4,T40.6)",198.0,Final
2021,Alaska,Percent with drugs specified,99.60784314,Final
2021,Alaska,Psychostimulants with abuse potential (T43.6),160.0,Final
2021,Alaska,"Synthetic opioids, excl. methadone (T40.4)",150.0,Final
2022,Alaska,Cocaine (T40.5),21.0,Final
2022,Alaska,Heroin (T40.1),40.0,Final
2022,Alaska,Methadone (T40.3),10.0,Final
2022,Alaska,Natural & semi-synthetic opioids (T40.2),49.0,Final
2022,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",55.0,Final
2022,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",179.0,Final
2022,Alaska,Number of Deaths,5550.0,Final
2022,Alaska,Number of Drug Overdose Deaths,247.0,Final
2022,Alaska,"Opioids (T40.0-T40.4,T40.6)",185.0,Final
2022,Alaska,Percent with drugs specified,99.1902834,Final
2022,Alaska,Psychostimulants with abuse potential (T43.6),140.0,Final
2022,Alaska,"Synthetic opioids, excl. methadone (T40.4)",156.0,Final
2023,Alaska,Cocaine (T40.5),31.0,Final
2023,Alaska,Heroin (T40.1),16.0,Final
2023,Alaska,Methadone (T40.3),14.0,Final
2023,Alaska,Natural & semi-synthetic opioids (T40.2),34.0,Final
2023,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",47.0,Final
2023,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",283.0,Final
2023,Alaska,Number of Deaths,5452.0,Final
2023,Alaska,Number of Drug Overdose Deaths,357.0,Final
2023,Alaska,"Opioids (T40.0-T40.4,T40.6)",286.0,Final
2023,Alaska,Percent with drugs specified,99.43977591,Final
2023,Alaska,Psychostimulants with abuse potential (T43.6),198.0,Final
2023,Alaska,"Synthetic opioids, excl. methadone (T40.4)",270.0,Final
2024,Alaska,Cocaine (T40.5),31.0,Final
2024,Alaska,Heroin (T40.1),,Final
2024,Alaska,Methadone (T40.3),14.0,Final
2024,Alaska,Natural & semi-synthetic opioids (T40.2),28.0,Final
2024,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",41.0,Final
2024,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",274.0,Final
2024,Alaska,Number of Deaths,5424.0,Final
2024,Alaska,Number of Drug Overdose Deaths,339.0,Final
2024,Alaska,"Opioids (T40.0-T40.4,T40.6)",276.0,Final
2024,Alaska,Percent with drugs specified,99.4100295,Final
2024,Alaska,Psychostimulants with abuse potential (T43.6),202.0,Final
2024,Alaska,"Synthetic opioids, excl. methadone (T40.4)",255.0,Final
2025,Alaska,Cocaine (T40.5),28.0,Provisional
2025,Alaska,Heroin (T40.1),,Provisional
2025,Alaska,Methadone (T40.3),14.0,Provisional
2025,Alaska,Natural & semi-synthetic opioids (T40.2),32.0,Provisional
2025,Alaska,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",46.0,Provisional
2025,Alaska,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",244.0,Provisional
2025,Alaska,Number of Deaths,5391.0,Provisional
2025,Alaska,Number of Drug Overdose Deaths,334.0,Provisional
2025,Alaska,"Opioids (T40.0-T40.4,T40.6)",246.0,Provisional
2025,Alaska,Percent with drugs specified,99.7005988,Provisional
2025,Alaska,Psychostimulants with abuse potential (T43.6),214.0,Provisional
2025,Alaska,"Synthetic opioids, excl. methadone (T40.4)",224.0,Provisional
2015,Arizona,Cocaine (T40.5),,Final
2015,Arizona,Heroin (T40.1),,Final
2015,Arizona,Methadone (T40.3),,Final
2015,Arizona,Natural & semi-synthetic opioids (T40.2),,Final
2015,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2015,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2015,Arizona,Number of Deaths,54853.0,Final
2015,Arizona,Number of Drug Overdose Deaths,1267.0,Final
2015,Arizona,"Opioids (T40.0-T40.4,T40.6)",,Final
2015,Arizona,Percent with drugs specified,80.34727703,Final
2015,Arizona,Psychostimulants with abuse potential (T43.6),,Final
2015,Arizona,"Synthetic opioids, excl. methadone (T40.4)",,Final
2016,Arizona,Cocaine (T40.5),,Final
2016,Arizona,Heroin (T40.1),,Final
2016,Arizona,Methadone (T40.3),,Final
2016,Arizona,Natural & semi-synthetic opioids (T40.2),,Final
2016,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2016,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2016,Arizona,Number of Deaths,57215.0,Final
2016,Arizona,Number of Drug Overdose Deaths,1393.0,Final
2016,Arizona,"Opioids (T40.0-T40.4,T40.6)",,Final
2016,Arizona,Percent with drugs specified,85.5707107,Final
2016,Arizona,Psychostimulants with abuse potential (T43.6),,Final
2016,Arizona,"Synthetic opioids, excl. methadone (T40.4)",,Final
2017,Arizona,Cocaine (T40.5),136.0,Final
2017,Arizona,Heroin (T40.1),341.0,Final
2017,Arizona,Methadone (T40.3),85.0,Final
2017,Arizona,Natural & semi-synthetic opioids (T40.2),350.0,Final
2017,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",417.0,Final
2017,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",615.0,Final
2017,Arizona,Number of Deaths,58440.0,Final
2017,Arizona,Number of Drug Overdose Deaths,1555.0,Final
2017,Arizona,"Opioids (T40.0-T40.4,T40.6)",936.0,Final
2017,Arizona,Percent with drugs specified,92.9903537,Final
2017,Arizona,Psychostimulants with abuse potential (T43.6),581.0,Final
2017,Arizona,"Synthetic opioids, excl. methadone (T40.4)",263.0,Final
2018,Arizona,Cocaine (T40.5),175.0,Final
2018,Arizona,Heroin (T40.1),368.0,Final
2018,Arizona,Methadone (T40.3),65.0,Final
2018,Arizona,Natural & semi-synthetic opioids (T40.2),313.0,Final
2018,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",367.0,Final
2018,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",799.0,Final
2018,Arizona,Number of Deaths,60200.0,Final
2018,Arizona,Number of Drug Overdose Deaths,1730.0,Final
2018,Arizona,"Opioids (T40.0-T40.4,T40.6)",1134.0,Final
2018,Arizona,Percent with drugs specified,95.0867052,Final
2018,Arizona,Psychostimulants with abuse potential (T43.6),612.0,Final
2018,Arizona,"Synthetic opioids, excl. methadone (T40.4)",527.0,Final
2019,Arizona,Cocaine (T40.5),157.0,Final
2019,Arizona,Heroin (T40.1),282.0,Final
2019,Arizona,Methadone (T40.3),73.0,Final
2019,Arizona,Natural & semi-synthetic opioids (T40.2),309.0,Final
2019,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",366.0,Final
2019,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1074.0,Final
2019,Arizona,Number of Deaths,61087.0,Final
2019,Arizona,Number of Drug Overdose Deaths,1981.0,Final
2019,Arizona,"Opioids (T40.0-T40.4,T40.6)",1326.0,Final
2019,Arizona,Percent with drugs specified,95.55779909,Final
2019,Arizona,Psychostimulants with abuse potential (T43.6),765.0,Final
2019,Arizona,"Synthetic opioids, excl. methadone (T40.4)",824.0,Final
2020,Arizona,Cocaine (T40.5),187.0,Final
2020,Arizona,Heroin (T40.1),219.0,Final
2020,Arizona,Methadone (T40.3),77.0,Final
2020,Arizona,Natural & semi-synthetic opioids (T40.2),318.0,Final
2020,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",386.0,Final
2020,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1752.0,Final
2020,Arizona,Number of Deaths,77090.0,Final
2020,Arizona,Number of Drug Overdose Deaths,2644.0,Final
2020,Arizona,"Opioids (T40.0-T40.4,T40.6)",1928.0,Final
2020,Arizona,Percent with drugs specified,97.04992436,Final
2020,Arizona,Psychostimulants with abuse potential (T43.6),1078.0,Final
2020,Arizona,"Synthetic opioids, excl. methadone (T40.4)",1519.0,Final
2021,Arizona,Cocaine (T40.5),210.0,Final
2021,Arizona,Heroin (T40.1),105.0,Final
2021,Arizona,Methadone (T40.3),78.0,Final
2021,Arizona,Natural & semi-synthetic opioids (T40.2),257.0,Final
2021,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",323.0,Final
2021,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1965.0,Final
2021,Arizona,Number of Deaths,82488.0,Final
2021,Arizona,Number of Drug Overdose Deaths,2780.0,Final
2021,Arizona,"Opioids (T40.0-T40.4,T40.6)",2034.0,Final
2021,Arizona,Percent with drugs specified,97.8057554,Final
2021,Arizona,Psychostimulants with abuse potential (T43.6),1296.0,Final
2021,Arizona,"Synthetic opioids, excl. methadone (T40.4)",1792.0,Final
2022,Arizona,Cocaine (T40.5),229.0,Final
2022,Arizona,Heroin (T40.1),50.0,Final
2022,Arizona,Methadone (T40.3),83.0,Final
2022,Arizona,Natural & semi-synthetic opioids (T40.2),211.0,Final
2022,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",290.0,Final
2022,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1935.0,Final
2022,Arizona,Number of Deaths,75108.0,Final
2022,Arizona,Number of Drug Overdose Deaths,2737.0,Final
2022,Arizona,"Opioids (T40.0-T40.4,T40.6)",1965.0,Final
2022,Arizona,Percent with drugs specified,98.79430033,Final
2022,Arizona,Psychostimulants with abuse potential (T43.6),1401.0,Final
2022,Arizona,"Synthetic opioids, excl. methadone (T40.4)",1776.0,Final
2023,Arizona,Cocaine (T40.5),252.0,Final
2023,Arizona,Heroin (T40.1),46.0,Final
2023,Arizona,Methadone (T40.3),86.0,Final
2023,Arizona,Natural & semi-synthetic opioids (T40.2),200.0,Final
2023,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",279.0,Final
2023,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1985.0,Final
2023,Arizona,Number of Deaths,70136.0,Final
2023,Arizona,Number of Drug Overdose Deaths,2720.0,Final
2023,Arizona,"Opioids (T40.0-T40.4,T40.6)",2009.0,Final
2023,Arizona,Percent with drugs specified,98.89705882,Final
2023,Arizona,Psychostimulants with abuse potential (T43.6),1447.0,Final
2023,Arizona,"Synthetic opioids, excl. methadone (T40.4)",1836.0,Final
2024,Arizona,Cocaine (T40.5),256.0,Final
2024,Arizona,Heroin (T40.1),35.0,Final
2024,Arizona,Methadone (T40.3),119.0,Final
2024,Arizona,Natural & semi-synthetic opioids (T40.2),205.0,Final
2024,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",316.0,Final
2024,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1706.0,Final
2024,Arizona,Number of Deaths,71361.0,Final
2024,Arizona,Number of Drug Overdose Deaths,2531.0,Final
2024,Arizona,"Opioids (T40.0-T40.4,T40.6)",1727.0,Final
2024,Arizona,Percent with drugs specified,99.2097985,Final
2024,Arizona,Psychostimulants with abuse potential (T43.6),1545.0,Final
2024,Arizona,"Synthetic opioids, excl. methadone (T40.4)",1525.0,Final
2025,Arizona,Cocaine (T40.5),304.0,Provisional
2025,Arizona,Heroin (T40.1),49.0,Provisional
2025,Arizona,Methadone (T40.3),136.0,Provisional
2025,Arizona,Natural & semi-synthetic opioids (T40.2),210.0,Provisional
2025,Arizona,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",337.0,Provisional
2025,Arizona,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",1986.0,Provisional
2025,Arizona,Number of Deaths,72486.0,Provisional
2025,Arizona,Number of Drug Overdose Deaths,2790.0,Provisional
2025,Arizona,"Opioids (T40.0-T40.4,T40.6)",2011.0,Provisional
2025,Arizona,Percent with drugs specified,99.35483871,Provisional
2025,Arizona,Psychostimulants with abuse potential (T43.6),1777.0,Provisional
2025,Arizona,"Synthetic opioids, excl. methadone (T40.4)",1802.0,Provisional
2015,Arkansas,Cocaine (T40.5),,Final
2015,Arkansas,Heroin (T40.1),,Final
2015,Arkansas,Methadone (T40.3),,Final
2015,Arkansas,Natural & semi-synthetic opioids (T40.2),,Final
2015,Arkansas,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2015,Arkansas,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2015,Arkansas,Number of Deaths,30986.0,Final
2015,Arkansas,Number of Drug Overdose Deaths,381.0,Final
2015,Arkansas,"Opioids (T40.0-T40.4,T40.6)",,Final
2015,Arkansas,Percent with drugs specified,77.69028871,Final
2015,Arkansas,Psychostimulants with abuse potential (T43.6),,Final
2015,Arkansas,"Synthetic opioids, excl. methadone (T40.4)",,Final
2016,Arkansas,Cocaine (T40.5),,Final
2016,Arkansas,Heroin (T40.1),,Final
2016,Arkansas,Methadone (T40.3),,Final
2016,Arkansas,Natural & semi-synthetic opioids (T40.2),,Final
2016,Arkansas,"Natural & semi-synthetic opioids, incl. methadone (T40.2, T40.3)",,Final
2016,Arkansas,"Natural, semi-synthetic, & synthetic opioids, incl. methadone (T40.2-T40.4)",,Final
2016,Arkansas,Number of Deaths,31028.0,Final
2016,Arkansas,Number of Drug Overdose Deaths,386.0,Final
2016,Arkansas,"Opioids (T40.0-T40.4,T40.6)",,Final
2016,Arkansas,Percent with drugs specified,70.20725389,Final
2016,Arkansas,Psychostimulants with abuse potential (T43.6),,Final
